"","State","Lake.Name","Species.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2"
"106","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",435.65562,"ng/g","ppb"
"107","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",254.52553,"ng/g","ppb"
"108","NY","Lake Ontario","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",1046.96744,"ng/g","ppb"
"109","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",195.69986,"ng/g","ppb"
"110","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",273.6441,"ng/g","ppb"
"111","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Total PCBs",228.22113,"ng/g","ppb"
"112","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",161.98915,"ng/g","ppb"
"113","NY","Lake Ontario","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",994.31741,"ng/g","ppb"
"114","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",245.00846,"ng/g","ppb"
"115","NY","Lake Ontario","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",59.19033,"ng/g","ppb"
"116","NY","Lake Ontario","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",8.36957,"ng/g","ppb"
"117","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Total PCBs",306.42765,"ng/g","ppb"
"118","NY","Lake Ontario","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",12.69375,"ng/g","ppb"
"119","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",1065.25972,"ng/g","ppb"
"120","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",471.17422,"ng/g","ppb"
"121","NY","Lake Ontario","Salmo trutta","Brown trout","Salmonidae","P","Total PCBs",416.0352,"ng/g","ppb"
"122","NY","Lake Ontario","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",420.34814,"ng/g","ppb"
"123","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",155.90849,"ng/g","ppb"
"124","NY","Lake Ontario","Sander vitreus","Walleye","Percidae","P","Total PCBs",2378.63913,"ng/g","ppb"
"125","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",220.4724,"ng/g","ppb"
"126","NY","Lake Ontario","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",352.92643,"ng/g","ppb"
"127","OH","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",88.07906,"ng/g","ppb"
"128","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",79.34581,"ng/g","ppb"
"129","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",241.54559,"ng/g","ppb"
"130","OH","Lake Erie","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",296.65328,"ng/g","ppb"
"131","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",29.95225,"ng/g","ppb"
"132","OH","Lake Erie","Perca flavescens","Yellow perch","Percidae","P","Total PCBs",95.70133,"ng/g","ppb"
"133","OH","Lake Erie","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Total PCBs",256.06575,"ng/g","ppb"
"134","OH","Lake Erie","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Total PCBs",543.15563,"ng/g","ppb"
"135","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",175.14115,"ng/g","ppb"
"136","OH","Lake Erie","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Total PCBs",285.13437,"ng/g","ppb"
"137","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",97.94209,"ng/g","ppb"
"138","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",159.31794,"ng/g","ppb"
"139","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",280.34285,"ng/g","ppb"
"140","OH","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",422.48978,"ng/g","ppb"
"141","PA","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","Total PCBs",233.15658,"ng/g","ppb"
"142","PA","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",106.37147,"ng/g","ppb"
"143","PA","Lake Erie","Sander vitreus","Walleye","Percidae","P","Total PCBs",186.30199,"ng/g","ppb"
"144","WI","Lake Superior","Prosopium cylindraceum","Round whitefish","Salmonidae","BD","Total PCBs",22.47855,"ng/g","ppb"
"145","WI","Lake Superior","Prosopium cylindraceum","Round whitefish","Salmonidae","BD","Total PCBs",13.93217,"ng/g","ppb"
"146","WI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",22.03057,"ng/g","ppb"
"147","WI","Lake Superior","Prosopium cylindraceum","Round whitefish","Salmonidae","BD","Total PCBs",32.37175,"ng/g","ppb"
"148","WI","Lake Superior","Prosopium cylindraceum","Round whitefish","Salmonidae","BD","Total PCBs",42.404,"ng/g","ppb"
"149","WI","Lake Superior","Catostomus commersonii","White sucker","Catostomidae","BD","Total PCBs",6.17413,"ng/g","ppb"
"150","WI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",160.53754,"ng/g","ppb"
"151","WI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",21.32269,"ng/g","ppb"
"152","WI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",1102.61678,"ng/g","ppb"
"153","WI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",266.90191,"ng/g","ppb"
"154","WI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",327.58036,"ng/g","ppb"
"155","WI","Lake Michigan","Ictalurus punctatus","Channel catfish","Ictaluridae","BD","Total PCBs",1059.53575,"ng/g","ppb"
"156","WI","Lake Michigan","Oncorhynchus kisutch","Coho salmon","Salmonidae","P","Total PCBs",241.67407,"ng/g","ppb"
"157","WI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",514.87578,"ng/g","ppb"
