"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Chemical","Amount","Units.1","Units.2"
"1604","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFHpA",NA,"ng/g","ppb"
"1605","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFOA",0.451,"ng/g","ppb"
"1606","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFNA",2.19,"ng/g","ppb"
"1607","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFDA",1.76,"ng/g","ppb"
"1608","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFUnA",2.5,"ng/g","ppb"
"1609","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFDoA",0.781,"ng/g","ppb"
"1610","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFTrDA",1.38,"ng/g","ppb"
"1611","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFTeDA",0.397,"ng/g","ppb"
"1612","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFBS",NA,"ng/g","ppb"
"1613","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFPeS",NA,"ng/g","ppb"
"1614","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFHxS",0.09,"ng/g","ppb"
"1615","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFHpS",NA,"ng/g","ppb"
"1616","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFOS",6.39,"ng/g","ppb"
"1617","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFNS",NA,"ng/g","ppb"
"1618","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFDS",NA,"ng/g","ppb"
"1619","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFDoS",NA,"ng/g","ppb"
"1620","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","4:2 FTS",NA,"ng/g","ppb"
"1621","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","6:2 FTS",NA,"ng/g","ppb"
"1622","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","8:2 FTS",NA,"ng/g","ppb"
"1623","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFOSA",NA,"ng/g","ppb"
"1624","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","N-MeFOSA",NA,"ng/g","ppb"
"1625","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","N-EtFOSA",NA,"ng/g","ppb"
"1626","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","MeFOSAA",NA,"ng/g","ppb"
"1627","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","EtFOSAA",NA,"ng/g","ppb"
"1628","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","N-MeFOSE",NA,"ng/g","ppb"
"1629","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","N-EtFOSE",NA,"ng/g","ppb"
"1630","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","HFPO-DA",NA,"ng/g","ppb"
"1631","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","ADONA",NA,"ng/g","ppb"
"1632","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","9Cl-PF3ONS",NA,"ng/g","ppb"
"1633","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","11Cl-PF3OUdS",NA,"ng/g","ppb"
"1634","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","3:3 FTCA",NA,"ng/g","ppb"
"1635","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","5:3 FTCA",NA,"ng/g","ppb"
"1636","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","7:3 FTCA",NA,"ng/g","ppb"
"1637","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFEESA",NA,"ng/g","ppb"
"1638","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFMPA",NA,"ng/g","ppb"
"1639","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","PFMBA",NA,"ng/g","ppb"
"1640","MI","Lake Huron","Catostomus catostomus","Longnose Sucker","Catostomidae","BD","NFDHA",NA,"ng/g","ppb"
"1641","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFBA",NA,"ng/g","ppb"
"1642","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFPeA",NA,"ng/g","ppb"
"1643","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFHxA",NA,"ng/g","ppb"
"1644","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFHpA",NA,"ng/g","ppb"
"1645","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFOA",NA,"ng/g","ppb"
"1646","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFNA",0.88,"ng/g","ppb"
"1647","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFDA",0.455,"ng/g","ppb"
"1648","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFUnA",0.609,"ng/g","ppb"
"1649","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFDoA",0.234,"ng/g","ppb"
"1650","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFTrDA",0.618,"ng/g","ppb"
"1651","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFTeDA",NA,"ng/g","ppb"
"1652","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFBS",NA,"ng/g","ppb"
"1653","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFPeS",NA,"ng/g","ppb"
"1654","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFHxS",0.122,"ng/g","ppb"
"1655","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFHpS",NA,"ng/g","ppb"
"1656","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFOS",5.91,"ng/g","ppb"
"1657","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFNS",NA,"ng/g","ppb"
"1658","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFDS",NA,"ng/g","ppb"
"1659","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFDoS",NA,"ng/g","ppb"
"1660","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","4:2 FTS",NA,"ng/g","ppb"
"1661","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","6:2 FTS",NA,"ng/g","ppb"
"1662","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","8:2 FTS",NA,"ng/g","ppb"
"1663","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFOSA",NA,"ng/g","ppb"
"1664","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","N-MeFOSA",NA,"ng/g","ppb"
"1665","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","N-EtFOSA",NA,"ng/g","ppb"
"1666","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","MeFOSAA",NA,"ng/g","ppb"
"1667","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","EtFOSAA",NA,"ng/g","ppb"
"1668","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","N-MeFOSE",NA,"ng/g","ppb"
"1669","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","N-EtFOSE",NA,"ng/g","ppb"
"1670","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","HFPO-DA",NA,"ng/g","ppb"
"1671","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","ADONA",NA,"ng/g","ppb"
"1672","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","9Cl-PF3ONS",NA,"ng/g","ppb"
"1673","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","11Cl-PF3OUdS",NA,"ng/g","ppb"
"1674","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","3:3 FTCA",NA,"ng/g","ppb"
"1675","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","5:3 FTCA",NA,"ng/g","ppb"
"1676","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","7:3 FTCA",NA,"ng/g","ppb"
"1677","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFEESA",NA,"ng/g","ppb"
"1678","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFMPA",NA,"ng/g","ppb"
"1679","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","PFMBA",NA,"ng/g","ppb"
"1680","MI","Lake Huron","Salvelinus namaycush","Lake Trout","Salmonidae","P","NFDHA",NA,"ng/g","ppb"
"1681","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFBA",NA,"ng/g","ppb"
"1682","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFPeA",NA,"ng/g","ppb"
"1683","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHxA",NA,"ng/g","ppb"
"1684","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHpA",NA,"ng/g","ppb"
"1685","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFOA",NA,"ng/g","ppb"
"1686","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFNA",0.826,"ng/g","ppb"
"1687","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDA",1.15,"ng/g","ppb"
"1688","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFUnA",1.28,"ng/g","ppb"
"1689","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDoA",0.331,"ng/g","ppb"
"1690","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFTrDA",NA,"ng/g","ppb"
"1691","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFTeDA",NA,"ng/g","ppb"
"1692","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFBS",NA,"ng/g","ppb"
"1693","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFPeS",NA,"ng/g","ppb"
"1694","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHxS",NA,"ng/g","ppb"
"1695","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHpS",NA,"ng/g","ppb"
"1696","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFOS",15.7,"ng/g","ppb"
"1697","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFNS",NA,"ng/g","ppb"
"1698","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDS",0.479,"ng/g","ppb"
"1699","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDoS",NA,"ng/g","ppb"
"1700","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","4:2 FTS",NA,"ng/g","ppb"
"1701","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","6:2 FTS",NA,"ng/g","ppb"
"1702","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","8:2 FTS",NA,"ng/g","ppb"
"1703","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFOSA",NA,"ng/g","ppb"
"1704","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-MeFOSA",NA,"ng/g","ppb"
"1705","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-EtFOSA",NA,"ng/g","ppb"
"1706","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","MeFOSAA",NA,"ng/g","ppb"
"1707","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","EtFOSAA",NA,"ng/g","ppb"
"1708","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-MeFOSE",NA,"ng/g","ppb"
"1709","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-EtFOSE",NA,"ng/g","ppb"
"1710","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","HFPO-DA",NA,"ng/g","ppb"
"1711","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","ADONA",NA,"ng/g","ppb"
"1712","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","9Cl-PF3ONS",NA,"ng/g","ppb"
"1713","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","11Cl-PF3OUdS",NA,"ng/g","ppb"
"1714","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","3:3 FTCA",NA,"ng/g","ppb"
"1715","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","5:3 FTCA",NA,"ng/g","ppb"
"1716","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","7:3 FTCA",1.06,"ng/g","ppb"
"1717","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFEESA",NA,"ng/g","ppb"
"1718","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFMPA",NA,"ng/g","ppb"
"1719","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFMBA",NA,"ng/g","ppb"
"1720","MI","Lake Huron","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","NFDHA",NA,"ng/g","ppb"
"1721","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFBA",NA,"ng/g","ppb"
"1722","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFPeA",NA,"ng/g","ppb"
"1723","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFHxA",NA,"ng/g","ppb"
"1724","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFHpA",NA,"ng/g","ppb"
"1725","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFOA",NA,"ng/g","ppb"
"1726","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFNA",NA,"ng/g","ppb"
"1727","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFDA",1.37,"ng/g","ppb"
"1728","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFUnA",2.64,"ng/g","ppb"
"1729","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFDoA",0.809,"ng/g","ppb"
"1730","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFTrDA",1.67,"ng/g","ppb"
"1731","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFTeDA",0.385,"ng/g","ppb"
"1732","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFBS",NA,"ng/g","ppb"
"1733","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFPeS",NA,"ng/g","ppb"
"1734","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFHxS",NA,"ng/g","ppb"
"1735","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFHpS",NA,"ng/g","ppb"
"1736","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFOS",9.54,"ng/g","ppb"
"1737","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFNS",NA,"ng/g","ppb"
"1738","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFDS",0.154,"ng/g","ppb"
"1739","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFDoS",NA,"ng/g","ppb"
"1740","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","4:2 FTS",NA,"ng/g","ppb"
"1741","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","6:2 FTS",NA,"ng/g","ppb"
"1742","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","8:2 FTS",NA,"ng/g","ppb"
"1743","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFOSA",NA,"ng/g","ppb"
"1744","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","N-MeFOSA",NA,"ng/g","ppb"
"1745","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","N-EtFOSA",NA,"ng/g","ppb"
"1746","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","MeFOSAA",NA,"ng/g","ppb"
"1747","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","EtFOSAA",NA,"ng/g","ppb"
"1748","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","N-MeFOSE",NA,"ng/g","ppb"
"1749","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","N-EtFOSE",NA,"ng/g","ppb"
"1750","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","HFPO-DA",NA,"ng/g","ppb"
"1751","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","ADONA",NA,"ng/g","ppb"
"1752","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","9Cl-PF3ONS",NA,"ng/g","ppb"
"1753","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","11Cl-PF3OUdS",NA,"ng/g","ppb"
"1754","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","3:3 FTCA",NA,"ng/g","ppb"
"1755","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","5:3 FTCA",NA,"ng/g","ppb"
"1756","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","7:3 FTCA",NA,"ng/g","ppb"
"1757","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFEESA",NA,"ng/g","ppb"
"1758","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFMPA",NA,"ng/g","ppb"
"1759","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFMBA",NA,"ng/g","ppb"
"1760","MI","Lake Huron","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","NFDHA",NA,"ng/g","ppb"
"1761","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFBA",NA,"ng/g","ppb"
"1762","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFPeA",NA,"ng/g","ppb"
"1763","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFHxA",NA,"ng/g","ppb"
"1764","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFHpA",NA,"ng/g","ppb"
"1765","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFOA",0.408,"ng/g","ppb"
"1766","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFNA",0.81,"ng/g","ppb"
"1767","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFDA",0.313,"ng/g","ppb"
"1768","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFUnA",0.729,"ng/g","ppb"
"1769","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFDoA",0.304,"ng/g","ppb"
"1770","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFTrDA",0.764,"ng/g","ppb"
"1771","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFTeDA",NA,"ng/g","ppb"
"1772","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFBS",NA,"ng/g","ppb"
"1773","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFPeS",NA,"ng/g","ppb"
"1774","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFHxS",0.153,"ng/g","ppb"
"1775","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFHpS",NA,"ng/g","ppb"
"1776","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFOS",4.93,"ng/g","ppb"
"1777","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFNS",NA,"ng/g","ppb"
"1778","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFDS",NA,"ng/g","ppb"
"1779","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFDoS",NA,"ng/g","ppb"
"1780","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","4:2 FTS",NA,"ng/g","ppb"
"1781","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","6:2 FTS",NA,"ng/g","ppb"
"1782","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","8:2 FTS",NA,"ng/g","ppb"
"1783","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFOSA",NA,"ng/g","ppb"
"1784","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","N-MeFOSA",NA,"ng/g","ppb"
"1785","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","N-EtFOSA",NA,"ng/g","ppb"
"1786","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","MeFOSAA",NA,"ng/g","ppb"
"1787","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","EtFOSAA",NA,"ng/g","ppb"
"1788","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","N-MeFOSE",NA,"ng/g","ppb"
"1789","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","N-EtFOSE",NA,"ng/g","ppb"
"1790","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","HFPO-DA",NA,"ng/g","ppb"
"1791","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","ADONA",NA,"ng/g","ppb"
"1792","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","9Cl-PF3ONS",NA,"ng/g","ppb"
"1793","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","11Cl-PF3OUdS",NA,"ng/g","ppb"
"1794","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","3:3 FTCA",NA,"ng/g","ppb"
"1795","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","5:3 FTCA",NA,"ng/g","ppb"
"1796","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","7:3 FTCA",NA,"ng/g","ppb"
"1797","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFEESA",NA,"ng/g","ppb"
"1798","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFMPA",NA,"ng/g","ppb"
"1799","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","PFMBA",NA,"ng/g","ppb"
"1800","MI","Lake Huron","Salvelinus fontinalis","Brook Trout","Salmonidae","P","NFDHA",NA,"ng/g","ppb"
"1801","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFBA",NA,"ng/g","ppb"
"1802","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFPeA",NA,"ng/g","ppb"
"1803","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFHxA",NA,"ng/g","ppb"
"1804","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFHpA",NA,"ng/g","ppb"
"1805","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFOA",NA,"ng/g","ppb"
"1806","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFNA",0.312,"ng/g","ppb"
"1807","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFDA",0.952,"ng/g","ppb"
"1808","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFUnA",1.59,"ng/g","ppb"
"1809","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFDoA",0.454,"ng/g","ppb"
"1810","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFTrDA",NA,"ng/g","ppb"
"1811","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFTeDA",0.369,"ng/g","ppb"
"1812","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFBS",NA,"ng/g","ppb"
"1813","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFPeS",NA,"ng/g","ppb"
"1814","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFHxS",NA,"ng/g","ppb"
"1815","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFHpS",NA,"ng/g","ppb"
"1816","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFOS",4.06,"ng/g","ppb"
"1817","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFNS",NA,"ng/g","ppb"
"1818","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFDS",NA,"ng/g","ppb"
"1819","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFDoS",NA,"ng/g","ppb"
"1820","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","4:2 FTS",NA,"ng/g","ppb"
"1821","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","6:2 FTS",NA,"ng/g","ppb"
"1822","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","8:2 FTS",NA,"ng/g","ppb"
"1823","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","PFOSA",NA,"ng/g","ppb"
"1824","MI","Lake Huron","Sander vitreus","Walleye","Percidae","P","N-MeFOSA",NA,"ng/g","ppb"
