"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Chemical","Amount","Units.1","Units.2"
"43","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFHxA",NA,"ng/g","ppb"
"44","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFHpA",NA,"ng/g","ppb"
"45","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFOA",NA,"ng/g","ppb"
"46","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFNA",NA,"ng/g","ppb"
"47","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFDA",0.717,"ng/g","ppb"
"48","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFUnA",1.07,"ng/g","ppb"
"49","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFDoA",1.18,"ng/g","ppb"
"50","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFTrDA",1.01,"ng/g","ppb"
"51","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFTeDA",0.726,"ng/g","ppb"
"52","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFBS",NA,"ng/g","ppb"
"53","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFPeS",0.032,"ng/g","ppb"
"54","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFHxS",NA,"ng/g","ppb"
"55","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFHpS",NA,"ng/g","ppb"
"56","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFOS",13.3,"ng/g","ppb"
"57","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFNS",NA,"ng/g","ppb"
"58","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFDS",0.292,"ng/g","ppb"
"59","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFDoS",NA,"ng/g","ppb"
"60","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","4:2 FTS",NA,"ng/g","ppb"
"61","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","6:2 FTS",NA,"ng/g","ppb"
"62","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","8:2 FTS",NA,"ng/g","ppb"
"63","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFOSA",0.161,"ng/g","ppb"
"64","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","N-MeFOSA",NA,"ng/g","ppb"
"65","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","N-EtFOSA",NA,"ng/g","ppb"
"66","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","MeFOSAA",NA,"ng/g","ppb"
"67","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","EtFOSAA",NA,"ng/g","ppb"
"68","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","N-MeFOSE",NA,"ng/g","ppb"
"69","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","N-EtFOSE",NA,"ng/g","ppb"
"70","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","HFPO-DA",NA,"ng/g","ppb"
"71","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","ADONA",NA,"ng/g","ppb"
"72","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","9Cl-PF3ONS",NA,"ng/g","ppb"
"73","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","11Cl-PF3OUdS",NA,"ng/g","ppb"
"74","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","3:3 FTCA",NA,"ng/g","ppb"
"75","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","5:3 FTCA",NA,"ng/g","ppb"
"76","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","7:3 FTCA",0.9,"ng/g","ppb"
"77","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFEESA",NA,"ng/g","ppb"
"78","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFMPA",NA,"ng/g","ppb"
"79","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","PFMBA",NA,"ng/g","ppb"
"80","MI","Lake Erie","Micropterus dolomieu","Smallmouth bass","Centrarchidae","P","NFDHA",NA,"ng/g","ppb"
"81","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFBA",NA,"ng/g","ppb"
"82","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFPeA",NA,"ng/g","ppb"
"83","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFHxA",NA,"ng/g","ppb"
"84","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFHpA",NA,"ng/g","ppb"
"85","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFOA",NA,"ng/g","ppb"
"86","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFNA",1.88,"ng/g","ppb"
"87","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFDA",2.58,"ng/g","ppb"
"88","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFUnA",1.02,"ng/g","ppb"
"89","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFDoA",0.837,"ng/g","ppb"
"90","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFTrDA",0.883,"ng/g","ppb"
"91","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFTeDA",0.476,"ng/g","ppb"
"92","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFBS",NA,"ng/g","ppb"
"93","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFPeS",NA,"ng/g","ppb"
"94","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFHxS",NA,"ng/g","ppb"
"95","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFHpS",0.096,"ng/g","ppb"
"96","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFOS",36,"ng/g","ppb"
"97","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFNS",NA,"ng/g","ppb"
"98","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFDS",0.733,"ng/g","ppb"
"99","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFDoS",NA,"ng/g","ppb"
"100","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","4:2 FTS",NA,"ng/g","ppb"
"101","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","6:2 FTS",NA,"ng/g","ppb"
"102","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","8:2 FTS",NA,"ng/g","ppb"
"103","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFOSA",NA,"ng/g","ppb"
"104","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","N-MeFOSA",NA,"ng/g","ppb"
"105","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","N-EtFOSA",NA,"ng/g","ppb"
"106","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","MeFOSAA",0.121,"ng/g","ppb"
"107","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","EtFOSAA",NA,"ng/g","ppb"
"108","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","N-MeFOSE",NA,"ng/g","ppb"
"109","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","N-EtFOSE",NA,"ng/g","ppb"
"110","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","HFPO-DA",NA,"ng/g","ppb"
"111","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","ADONA",NA,"ng/g","ppb"
"112","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","9Cl-PF3ONS",NA,"ng/g","ppb"
"113","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","11Cl-PF3OUdS",NA,"ng/g","ppb"
"114","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","3:3 FTCA",NA,"ng/g","ppb"
"115","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","5:3 FTCA",2.34,"ng/g","ppb"
"116","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","7:3 FTCA",3.83,"ng/g","ppb"
"117","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFEESA",NA,"ng/g","ppb"
"118","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFMPA",NA,"ng/g","ppb"
"119","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFMBA",NA,"ng/g","ppb"
"120","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","NFDHA",NA,"ng/g","ppb"
"121","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFBA",NA,"ng/g","ppb"
"122","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFPeA",NA,"ng/g","ppb"
"123","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHxA",NA,"ng/g","ppb"
"124","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHpA",NA,"ng/g","ppb"
"125","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFOA",NA,"ng/g","ppb"
"126","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFNA",0.492,"ng/g","ppb"
"127","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDA",0.99,"ng/g","ppb"
"128","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFUnA",0.591,"ng/g","ppb"
"129","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDoA",0.45,"ng/g","ppb"
"130","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFTrDA",NA,"ng/g","ppb"
"131","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFTeDA",0.408,"ng/g","ppb"
"132","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFBS",NA,"ng/g","ppb"
"133","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFPeS",NA,"ng/g","ppb"
"134","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHxS",NA,"ng/g","ppb"
"135","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFHpS",NA,"ng/g","ppb"
"136","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFOS",19.9,"ng/g","ppb"
"137","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFNS",NA,"ng/g","ppb"
"138","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDS",0.676,"ng/g","ppb"
"139","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFDoS",NA,"ng/g","ppb"
"140","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","4:2 FTS",NA,"ng/g","ppb"
"141","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","6:2 FTS",NA,"ng/g","ppb"
"142","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","8:2 FTS",NA,"ng/g","ppb"
"143","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFOSA",NA,"ng/g","ppb"
"144","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-MeFOSA",NA,"ng/g","ppb"
"145","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-EtFOSA",NA,"ng/g","ppb"
"146","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","MeFOSAA",0.097,"ng/g","ppb"
"147","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","EtFOSAA",NA,"ng/g","ppb"
"148","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-MeFOSE",NA,"ng/g","ppb"
"149","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","N-EtFOSE",NA,"ng/g","ppb"
"150","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","HFPO-DA",NA,"ng/g","ppb"
"151","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","ADONA",NA,"ng/g","ppb"
"152","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","9Cl-PF3ONS",NA,"ng/g","ppb"
"153","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","11Cl-PF3OUdS",NA,"ng/g","ppb"
"154","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","3:3 FTCA",NA,"ng/g","ppb"
"155","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","5:3 FTCA",NA,"ng/g","ppb"
"156","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","7:3 FTCA",4.93,"ng/g","ppb"
"157","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFEESA",NA,"ng/g","ppb"
"158","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFMPA",NA,"ng/g","ppb"
"159","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","PFMBA",NA,"ng/g","ppb"
"160","MI","Lake Erie","Aplodinotus grunniens","Freshwater Drum","Sciaenidae","P","NFDHA",NA,"ng/g","ppb"
"161","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFBA",NA,"ng/g","ppb"
"162","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFPeA",NA,"ng/g","ppb"
"163","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFHxA",NA,"ng/g","ppb"
"164","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFHpA",NA,"ng/g","ppb"
"165","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFOA",NA,"ng/g","ppb"
"166","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFNA",1.93,"ng/g","ppb"
"167","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFDA",2.64,"ng/g","ppb"
"168","MI","Lake Erie","Morone chrysops","White Bass","Moronidae","P","PFUnA",1.09,"ng/g","ppb"
