"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2","Year"
"47","MI","Lake Huron","Morone americana","White perch","Moronidae","P","Perfluoroundecanoate (PFUnA)",3.97,"ng/g","ppb",2015
"48","MI","Lake Huron","Morone americana","White perch","Moronidae","P","Perfluorododecanoate (PFDoA)",0.8,"ng/g","ppb",2015
"49","MI","Lake Huron","Morone americana","White perch","Moronidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb",2015
"50","MI","Lake Huron","Morone americana","White perch","Moronidae","P","Perfluorohexane sulfonate (PFHxS)",NA,"ng/g","ppb",2015
"51","MI","Lake Huron","Morone americana","White perch","Moronidae","P","Perfluorooctanesulfonate (PFOS)",41.4,"ng/g","ppb",2015
"52","MI","Lake Huron","Morone americana","White perch","Moronidae","P","Perfluorooctane sulfonamide (PFOSA)",NA,"ng/g","ppb",2015
"53","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorobutanoate (PFBA)",NA,"ng/g","ppb",2015
"54","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoropentanoate (PFPeA)",0.36,"ng/g","ppb",2015
"55","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorohexanoate (PFHxA)",NA,"ng/g","ppb",2015
"56","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb",2015
"57","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb",2015
"58","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorononanoate (PFNA)",0.43,"ng/g","ppb",2015
"59","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorodecanoate (PFDA)",0.57,"ng/g","ppb",2015
"60","MI","Lake Huron","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluoroundecanoate (PFUnA)",0.87,"ng/g","ppb",2015
