EPA Region,State,Lake,Site ID,EPA Sample ID,Species ID,Scientific Name,Common Name,Family,Niche,Analyte,CAS Number,Amount,Unit 1,Unit 2,MDL,QL,Lab Qualifier Flag,SCC Code,Comments,Sort Order
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Perfluorononanoate (PFNA),375-95-1,1.81,ng/g,ppb,0.12,0.25,,,,6
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Perfluorodecanoate (PFDA),335-76-2,4.15,ng/g,ppb,0.16,0.25,,,,7
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,3.80,ng/g,ppb,0.17,0.25,,,,8
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Perfluorododecanoate (PFDoA),307-55-1,1.68,ng/g,ppb,0.09,0.25,,,,9
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Perfluorobutane sulfonate (PFBS),29420-49-3,,ng/g,ppb,0.36,0.50,U,,,10
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,,ng/g,ppb,0.63,1.25,U,,,11
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,50.90,ng/g,ppb,0.52,1.25,,,,12
5,MI,Lake Erie,GLNS15-1164,795874,795874.1,Morone chrysops,White bass,Moronidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,0.67,ng/g,ppb,0.13,0.25,,,,13
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluorobutanoate (PFBA),375-22-4,,ng/g,ppb,0.21,0.25,U,,,1
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluoropentanoate (PFPeA),2706-90-3,,ng/g,ppb,0.24,0.25,U,,,2
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluorohexanoate (PFHxA),307-24-4,,ng/g,ppb,0.13,0.25,U,,,3
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,ng/g,ppb,0.13,0.25,U,,,4
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluorooctanoate (PFOA),335-67-1,,ng/g,ppb,0.23,0.25,U,,,5
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluorononanoate (PFNA),375-95-1,0.62,ng/g,ppb,0.12,0.25,,,,6
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluorodecanoate (PFDA),335-76-2,3.18,ng/g,ppb,0.16,0.25,,,,7
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,3.97,ng/g,ppb,0.17,0.25,,,,8
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluorododecanoate (PFDoA),307-55-1,0.80,ng/g,ppb,0.09,0.25,,,,9
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluorobutane sulfonate (PFBS),29420-49-3,,ng/g,ppb,0.36,0.50,U,,,10
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluorohexane sulfonate (PFHxS),355-46-4,,ng/g,ppb,0.63,1.25,U,,,11
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluorooctanesulfonate (PFOS),1763-23-1,41.40,ng/g,ppb,0.52,1.25,,,,12
5,MI,Lake Huron,GLNS15-1197,795814,795814.1,Morone americana,White perch,Moronidae,P,Perfluorooctane sulfonamide (PFOSA),754-91-6,,ng/g,ppb,0.13,0.25,U,,,13
5,MI,Lake Huron,GLNS15-1199,807254,807254.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorobutanoate (PFBA),375-22-4,,ng/g,ppb,0.21,0.25,U,,,1
5,MI,Lake Huron,GLNS15-1199,807254,807254.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoropentanoate (PFPeA),2706-90-3,0.36,ng/g,ppb,0.24,0.25,,,,2
5,MI,Lake Huron,GLNS15-1199,807254,807254.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorohexanoate (PFHxA),307-24-4,,ng/g,ppb,0.13,0.25,U,,,3
5,MI,Lake Huron,GLNS15-1199,807254,807254.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoroheptanoate (PFHpA),375-85-9,,ng/g,ppb,0.13,0.25,U,,,4
5,MI,Lake Huron,GLNS15-1199,807254,807254.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorooctanoate (PFOA),335-67-1,,ng/g,ppb,0.23,0.25,U,,,5
5,MI,Lake Huron,GLNS15-1199,807254,807254.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorononanoate (PFNA),375-95-1,0.43,ng/g,ppb,0.12,0.25,,,,6
5,MI,Lake Huron,GLNS15-1199,807254,807254.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorodecanoate (PFDA),335-76-2,0.57,ng/g,ppb,0.16,0.25,,,,7
5,MI,Lake Huron,GLNS15-1199,807254,807254.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluoroundecanoate (PFUnA),2058-94-8,0.87,ng/g,ppb,0.17,0.25,,,,8
5,MI,Lake Huron,GLNS15-1199,807254,807254.1,Salvelinus namaycush,Lake trout,Salmonidae,P,Perfluorododecanoate (PFDoA),307-55-1,0.35,ng/g,ppb,0.09,0.25,,,,9
